1,60,15,67,9,12,0.275,良
2,64,45,64,11,16,0.775,良
3,110,69,167,29,30,1.15,轻度污染
4,198,148,270,76,76,8.35,重度污染
5,96,71,105,15,15,1.225,轻度污染
6,76,55,81,13,28,0.85,轻度污染
7,76,55,78,39,42,0.875,轻度污染
8,80,34,107,71,38,1.25,轻度污染
9,43,14,42,40,24,1.3,优
10,94,45,114,26,20,1.2,轻度污染
11,83,36,103,23,19,0.725,轻度污染
12,66,43,80,12,11,0.55,良
13,89,66,122,5,10,0.675,轻度污染
14,88,65,114,8,14,0.65,轻度污染
15,306,255,315,15,54,2.6,重度污染
16,238,187,253,14,69,1.525,重度污染
17,53,36,40,7,12,0.575,良
18,68,36,83,5,14,0.725,良
19,94,70,88,12,13,1.025,轻度污染
20,82,60,89,7,12,0.9,轻度污染
21,192,144,200,4,47,1.4,重度污染
22,83,61,87,13,34,1.15,轻度污染
23,136,103,150,7,21,1.325,重度污染
24,157,119,195,14,44,1.875,重度污染
25,114,85,136,19,32,1.2,轻度污染
26,116,87,164,29,68,1.2,重度污染
27,88,65,101,5,53,1.025,轻度污染
28,42,29,35,4,11,0.675,优
29,37,21,36,3,15,0.675,优
30,141,107,166,56,62,1.475,重度污染
31,87,64,94,14,14,0.625,轻度污染
